participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
1116,Male,Single,18 - 25,House,City,Jenin,Merchant,Inside the West Bank,Highschool or Less,"2,001 - 4,000 NIS",Severely decreased,Yes,No,My garden is unsuitable for any activity,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,Much more often,Much more often,Much more often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,,Much more often,,,,,,,,,,,
1117,Male,Married,36 - 45,House,Village,Ramallah,Governmental Employee,Inside the West Bank,Highschool or Less,"Less than 2,000 NIS",Decreased,Yes,Yes,,,Before the pandemic,,,,About the same,Less often,More often,More often,Much more often,Much more often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,Before the pandemic,,,,,,,,Before the pandemic,,,,Before the pandemic,More often,More often,More often,More often,Yes,,,Before the pandemic,,,,,,,,Before the pandemic,,,,,Before the pandemic,More often,More often,More often,More often,I don't do this activity,More often,More often,More often,I don't do this activity,More often,More often,I don't do this activity
1118,Female,Married, 26 - 35,Apartment,City,Ramallah,Governmental Employee,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Less often,Less often,I don't do this activity,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity
1119,Female,Single,18 - 25,House,Village,Nablus,Teacher,Inside the West Bank,Master,"2,001 - 4,000 NIS",The same,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,,,,,Before the pandemic,After the pandemic occurred,More often,More often,Much more often,About the same,Yes,,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,"Before the pandemic, After the pandemic occurred",,After the pandemic occurred,,,,,,Before the pandemic,After the pandemic occurred,Much more often,More often,More often,About the same,Less often,More often,Much more often,About the same,About the same,More often,More often,More often
1120,Male,Married,36 - 45,Apartment,City,Qalqelyah,Private Sector Employee,Inside the West Bank,Master,"6,001 - 8,000 NIS",I have no income,No,,,,,,,,,,,,,,,,,Yes,,,Before the pandemic,Before the pandemic,,,,,Before the pandemic,,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,More often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,About the same,About the same,I don't do this activity,About the same,I don't do this activity,Less often,Less often,I don't do this activity,More often,More often,More often,I don't do this activity
1121,Male,Married, 26 - 35,Apartment,City,Hebron,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,No,The available parks and green areas are not appropriate for receiving people,,,,,,,,,,,,,,,,,,,No,Mainly because there is no open natural areas around and near my town,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Male,Single,18 - 25,House,Village,Hebron,Student,Inside the West Bank,Bachelor,"Less than 2,000 NIS",Severely decreased,No,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic ??No?No?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Male,Single,18 - 25,Apartment,Town,Ramallah,Unemployed,Inside the West Bank,Highschool or Less,I have no income,I have no income,No,,,,,,,,,,,,,,,,,No,Mainly for economic reasons,,,,,,,,,,,,,,,,,,,No,Mainly for economic reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Male,Married,36 - 45,Apartment,Refugee Camp,Bethlehem,Unemployed,Inside the West Bank,Bachelor,"Less than 2,000 NIS",I have no income,No,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,Less often,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,I don't do this activity,Less often,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much less,I don't do this activity,More often,More often,More often,I don't do this activity
1125,Male,Married,36 - 45,Apartment,City,Ramallah,NGO Employee,Inside the West Bank,PhD or more,"More than 8,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,I don't do this activity,Yes,,,,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,Less often,More often,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1126,Male,Married,46 - 55,House,Town,Hebron,Teacher,Inside the West Bank,Master,"4,001 - 6,000 NIS",Severely decreased,Yes,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",More often,Less often,More often,More often,More often,More often,I don't do this activity,More often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,More often,I don't do this activity,Less often,Less often,Less often,More often,More often,More often,I don't do this activity
1127,Male,Married,46 - 55,House,City,Hebron,Handyman,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,Before the pandemic,Before the pandemic,Before the pandemic,,,Before the pandemic,,,,Before the pandemic,,,Less often,Less often,Less often,I don't do this activity,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,Less often,Less often,I don't do this activity,Less often,I don't do this activity,More often,I don't do this activity,I don't do this activity,More often,I don't do this activity,More often,I don't do this activity
1128,Female,Married,More than 65,Apartment,City,Ramallah,Freelancer,Inside the West Bank,Bachelor,"4,001 - 6,000 NIS",Decreased,No,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,Before the pandemic,,Before the pandemic,Before the pandemic,After the pandemic occurred,,,,,,,,After the pandemic occurred,I don't do this activity,Less often,I don't do this activity,I don't do this activity,Yes,,After the pandemic occurred,,,,,After the pandemic occurred,,Before the pandemic,,,,,After the pandemic occurred,,,Much more often,Much less,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1129,Female,Married,46 - 55,House,Town,Hebron,Teacher,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,After the pandemic occurred,"Before the pandemic, After the pandemic occurred",Before the pandemic,Before the pandemic,Before the pandemic,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,More often,I don't do this activity,More often,I don't do this activity
1130,Male,Married,46 - 55,House,Village,Salfit,Governmental Employee,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,More often,I don't do this activity,More often,I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,No,Lockdown and COVID-19 pandemic,,,,,,,,,,,,,,,,,,,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,,,,"Before the pandemic, After the pandemic occurred",I don't do this activity,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
1131,Female,Married, 56 - 65,House,Refugee Camp,Hebron,Unemployed,,Highschool or Less,"Less than 2,000 NIS",Severely decreased,Yes,Yes,,"Before the pandemic, After the pandemic occurred",,,,,Less often,Less often,Much more often,Much more often,Much more often,Much less,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,Before the pandemic,,,,,,,Before the pandemic,,,Before the pandemic,,,,About the same,,I don't do this activity,I don't do this activity,Yes,,,Before the pandemic,,,,,,Before the pandemic,,,Before the pandemic,,,,,Less often,More often,More often,More often,I don't do this activity,Much more often,Much more often,,,Much more often,Much more often,I don't do this activity
